0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:06 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:06 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:06 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:09 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:10 +0800] "GET /eduassistem/student_bulletinque.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:13 +0800] "GET /eduassistem/student_info.jsp HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:15 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:15 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:15 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:16 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:16 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:16 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:20 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:20 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:20 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:21 +0800] "GET /eduassistem/student_bulletinque.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:22 +0800] "GET /eduassistem/student_info.jsp HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:22 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:22 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:23 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
